Site_ID	Lat	Long	Point.Date	date	day	month	year	Pel	Aur	Cot	Rhi	Chr	Aeq	Vel	Phys
2	42.406301	3.156055	20130905	05/09/2013	5	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130906	06/09/2013	6	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130907	07/09/2013	7	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130908	08/09/2013	8	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130909	09/09/2013	9	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130910	10/09/2013	10	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130911	11/09/2013	11	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130912	12/09/2013	12	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130913	13/09/2013	13	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130914	14/09/2013	14	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130915	15/09/2013	15	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130916	16/09/2013	16	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130917	17/09/2013	17	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130918	18/09/2013	18	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130919	19/09/2013	19	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130920	20/09/2013	20	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130921	21/09/2013	21	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130922	22/09/2013	22	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130923	23/09/2013	23	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130924	24/09/2013	24	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130925	25/09/2013	25	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130926	26/09/2013	26	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130927	27/09/2013	27	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130928	28/09/2013	28	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130929	29/09/2013	29	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
2	42.406301	3.156055	20130930	30/09/2013	30	9	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130615	15/06/2013	15	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130616	16/06/2013	16	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130617	17/06/2013	17	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130618	18/06/2013	18	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130619	19/06/2013	19	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130620	20/06/2013	20	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130621	21/06/2013	21	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130622	22/06/2013	22	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130623	23/06/2013	23	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130624	24/06/2013	24	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130625	25/06/2013	25	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130626	26/06/2013	26	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130627	27/06/2013	27	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130628	28/06/2013	28	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130629	29/06/2013	29	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130630	30/06/2013	30	6	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130701	01/07/2013	1	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130702	02/07/2013	2	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130703	03/07/2013	3	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130704	04/07/2013	4	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130705	05/07/2013	5	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130706	06/07/2013	6	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130707	07/07/2013	7	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130708	08/07/2013	8	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130709	09/07/2013	9	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130710	10/07/2013	10	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130711	11/07/2013	11	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130712	12/07/2013	12	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130713	13/07/2013	13	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130714	14/07/2013	14	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130715	15/07/2013	15	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130716	16/07/2013	16	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130717	17/07/2013	17	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130718	18/07/2013	18	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130719	19/07/2013	19	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130720	20/07/2013	20	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
3	42.393786	3.153229	20130721	21/07/2013	21	7	2013	NA	NA	NA	NA	NA	NA	NA	NA
